sample_id,State,Latitude,Longitude,landslide,sample_source,background_rule,dem_tile,elevation,slope,aspect,terrain_source,terrain_source_type,terrain_status,reference_date,reference_date_source,reference_date_rule,rainfall_24h,rainfall_3d,rainfall_7d,rainfall_source,rainfall_source_type,rainfall_status,soil_moisture_0_7cm,soil_moisture_7_28cm,soil_moisture_28_100cm,soil_moisture_100_255cm,soil_moisture,soil_moisture_source,soil_moisture_source_type,soil_moisture_status
BG-00001,Sikkim,27.609802,88.211661,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,4364.0,18.0272,186.4386,SRTM 1 arc-second DEM,DEM-derived,True,2012-06-22,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,16.1,23.5,92.7,Open-Meteo historical weather,reanalysis,available,0.425464,0.426232,0.424857,0.428756,0.426327,Open-Meteo ERA5-Land,reanalysis,available
BG-00002,Assam,26.396304,91.091606,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E091,45.0,2.1211,330.8299,SRTM 1 arc-second DEM,DEM-derived,True,2010-04-02,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,12.4,95.7,197.2,Open-Meteo historical weather,reanalysis,available,0.422637,0.398821,0.271476,0.347232,0.360042,Open-Meteo ERA5-Land,reanalysis,available
BG-00003,Meghalaya,25.687463,92.346945,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E092,990.0,5.9058,20.2989,SRTM 1 arc-second DEM,DEM-derived,True,2022-04-04,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,21.1,26.2,42.8,Open-Meteo historical weather,reanalysis,available,0.449625,0.404446,0.408399,0.450899,0.428342,Open-Meteo ERA5-Land,reanalysis,available
BG-00004,Sikkim,27.988794,88.788642,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,5572.0,51.1803,119.6285,SRTM 1 arc-second DEM,DEM-derived,True,2012-06-22,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,7.6,9.3,30.2,Open-Meteo historical weather,reanalysis,available,0.337714,0.273601,0.239982,0.295446,0.286686,Open-Meteo ERA5-Land,reanalysis,available
BG-00005,Assam,26.574332,91.455167,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E091,68.0,2.9635,339.5592,SRTM 1 arc-second DEM,DEM-derived,True,2022-05-14,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,89.8,217.6,297.5,Open-Meteo historical weather,reanalysis,available,0.379226,0.370673,0.40328,0.398202,0.387845,Open-Meteo ERA5-Land,reanalysis,available
BG-00006,Meghalaya,25.416584,90.300148,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E090,213.0,19.1489,68.1281,SRTM 1 arc-second DEM,DEM-derived,True,2009-07-01,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,64.5,160.5,193.7,Open-Meteo historical weather,reanalysis,available,0.481839,0.48822,0.467143,0.507554,0.486189,Open-Meteo ERA5-Land,reanalysis,available
BG-00007,Arunachal Pradesh,28.572216,95.662663,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N28E095,1816.0,42.2144,29.1492,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,60.8,87.2,158.2,Open-Meteo historical weather,reanalysis,available,0.423458,0.423649,0.423417,0.42622,0.424186,Open-Meteo ERA5-Land,reanalysis,available
BG-00008,Arunachal Pradesh,27.855121,95.927724,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E095,149.0,1.3984,48.5191,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,24.6,107.8,151.1,Open-Meteo historical weather,reanalysis,available,0.463583,0.468048,0.489917,0.500976,0.480631,Open-Meteo ERA5-Land,reanalysis,available
BG-00009,Tripura,23.083585,91.752085,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N23E091,34.0,4.1263,257.0481,SRTM 1 arc-second DEM,DEM-derived,True,2009-07-10,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,19.3,39.1,68.4,Open-Meteo historical weather,reanalysis,available,0.475554,0.485369,0.502417,0.448792,0.478033,Open-Meteo ERA5-Land,reanalysis,available
BG-00010,Sikkim,27.704814,88.362213,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,4761.0,13.7814,351.4357,SRTM 1 arc-second DEM,DEM-derived,True,2012-06-22,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,16.1,23.5,92.7,Open-Meteo historical weather,reanalysis,available,0.417839,0.408071,0.297738,0.422,0.386412,Open-Meteo ERA5-Land,reanalysis,available
