sample_id,State,Latitude,Longitude,landslide,sample_source,background_rule,dem_tile,elevation,slope,aspect,terrain_source,terrain_source_type,terrain_status,reference_date,reference_date_source,reference_date_rule
BG-00001,Sikkim,27.609802,88.211661,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,4364.0,18.0272,186.4386,SRTM 1 arc-second DEM,DEM-derived,True,2012-06-22,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00002,Assam,26.396304,91.091606,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E091,45.0,2.1211,330.8299,SRTM 1 arc-second DEM,DEM-derived,True,2010-04-02,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00003,Meghalaya,25.687463,92.346945,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E092,990.0,5.9058,20.2989,SRTM 1 arc-second DEM,DEM-derived,True,2022-04-04,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00004,Sikkim,27.988794,88.788642,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,5572.0,51.1803,119.6285,SRTM 1 arc-second DEM,DEM-derived,True,2012-06-22,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00005,Assam,26.574332,91.455167,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E091,68.0,2.9635,339.5592,SRTM 1 arc-second DEM,DEM-derived,True,2022-05-14,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00006,Meghalaya,25.416584,90.300148,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E090,213.0,19.1489,68.1281,SRTM 1 arc-second DEM,DEM-derived,True,2009-07-01,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00007,Arunachal Pradesh,28.572216,95.662663,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N28E095,1816.0,42.2144,29.1492,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00008,Arunachal Pradesh,27.855121,95.927724,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E095,149.0,1.3984,48.5191,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00009,Tripura,23.083585,91.752085,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N23E091,34.0,4.1263,257.0481,SRTM 1 arc-second DEM,DEM-derived,True,2009-07-10,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00010,Sikkim,27.704814,88.362213,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,4761.0,13.7814,351.4357,SRTM 1 arc-second DEM,DEM-derived,True,2012-06-22,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00011,Arunachal Pradesh,27.607037,96.054321,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E096,393.0,20.6062,292.7704,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
