"State","District","History","Latitude","Longitude"
"Assam","Hailakandi","17 May 2016","24.478972","92.682861"
"Assam","Hailakandi","18 May 2016","24.511306","92.693028"
"Assam","Hailakandi","18 May 2016","24.515944","92.540889"
"Assam","Cachar","02 April 2010","24.57025","92.685"
"Assam","Cachar","31 August 2016","24.645417","93.005361"
"Assam","Karimganj","18 May 2016","24.659389","92.497361"
"Assam","Hailakandi","02 June 2020","24.70656","92.65008"
"Assam","Karimganj","03 June 2010","24.710833","92.481167"
"Assam","Cachar","05 June 2020","24.72192","92.90381"
"Assam","Hailakandi","02 June 2020","24.73117","92.64739"
"Assam","Karimganj","02 June 2020","24.78002778","92.45372222"
"Assam","Hailakandi","02 June 2020","24.79489","92.55506"
"Assam","Cachar","02 June 2020","24.92097","93.07306"
"Assam","Dima Hasao","20 June 2010","25.121","92.915028"
"Assam","Dima Hasao","02 April 2010","25.124306","92.904278"
"Assam","Dima Hasao","16 June 2010","25.124583","92.989111"
"Assam","Dima Hasao","14 June 2018","25.146306","93.942167"
"Assam","Dima Hasao","14 June 2018","25.224278","93.222861"
"Assam","Dima Hasao","02 April 2010","25.229556","93.1556"
"Assam","Dima Hasao","14 June 2018","26.098167","91.881278"
"Assam","Dima Hasao","14 June 2018","26.11","94.76"
"Assam","Kamrup","24 August 2018","26.112667","91.853889"
"Assam","Kamrup (Metro)","13 June 2017","26.15428","91.79264"
"Assam","Kamrup (Metro)","13 June 2017","26.17672","91.76525"
"Assam","Kamrup (Metro)","13 June 2017","26.17756","91.76589"
"Assam","Kamrup (Metro)","16 June 2017","26.18842","91.85125"
"Assam","Kamrup (Metro)","04 July 2017","26.19081","91.84528"
"Assam","Kamrup","24 August 2018","26.195306","91.765639"
"Assam","Kamrup (Metro)","23 March 2011","26.19622","91.76336"
"Assam","Kamrup (Metro)","03 July 2017","26.20536","91.86497"
"Assam","Kamrup (Metro)","04 July 2017","26.37456","91.84561"
"Assam","Kamrup (Metro)","05 July 2024","26.11464","91.83886"
"Assam","Kamrup (Metro)","24 May 2024","26.19044","91.77502"
"Assam","Dima Hasao","15 May 2022","25.16736","93.00953"
"Assam","Dima Hasao","14 May 2022","25.16023","93.01084"
"Assam","Dima Hasao","14 May 2022","25.16579","93.00948"
"Assam","Dima Hasao","14 May 2022","25.15859","93.01292"
"Assam","Kamrup (Metro)","22 September 2014","26.13441667","91.74875"
"Assam","Kamrup (Metro)","23 September 2014","26.10711111","91.78916667"
"Assam","Dima Hasao","14 May 2022","25.15556","93.021583"
"Assam","Dima Hasao","15 May 2022","25.158138","93.024778"
"Assam","Dima Hasao (N.C. Hills)","22 May 2016","25.24194444","93.14319444"
"Assam","Dima Hasao (N.C. Hills)","22 May 2016","25.41733333","93.12908333"
"Assam","Dima Hasao","14 May 2022","25.16804","93.02503"
"Assam","Dima Hasao","14 May 2022","25.168083","93.024922"
"Assam","Dima Hasao (N.C. Hills)","22 May 2016","25.27480556","93.14555556"
"Assam","Dima Hasao (N.C. Hills)","22 May 2016","25.18955556","93.09641667"
"Assam","Kamrup (Metro)","22 June 2016","26.19552778","91.78055556"
"Assam","Dima Hasao","15 May 2022","25.17483","93.019861"
"Assam","Dima Hasao","13 May 2022","25.1568056","93.019722"
"Assam","Dima Hasao","14 May 2022","25.162667","93.009806"
"Assam","Dima Hasao (N.C. Hills)","17 May 2016","25.17986111","93.07077778"
"Assam","Dima Hasao (N.C. Hills)","17 May 2016","25.14677778","93.03097222"
"Assam","Dima Hasao","17 May 2016","25.15561111","93.02222222"
"Assam","Dima Hasao","22 May 2016","25.15658333","93.01961111"
"Assam","Dima Hasao (N.C. Hills)","27 May 2016","25.15713889","93.01719444"
"Assam","Dima Hasao (N.C. Hills)","22 May 2016","25.164","93.04019444"
"Assam","Dima Hasao (N.C. Hills)","17 May 2016","25.14872222","93.03191667"
"Assam","Dima Hasao (N.C. Hills)","17 May 2016","25.14525","93.02916667"
"Assam","Dima Hasao","22 May 2016","25.15572222","93.02277778"
"Assam","Dima Hasao (N.C. Hills)","22 May 2016","25.20552778","93.02013889"
"Assam","Kamrup (Metro)","24 May 2024","26.19052","91.77499"
"Assam","Dima Hasao","22 May 2016","25.15933333","93.017"
"Assam","Dima Hasao","22 May 2016","25.15736111","93.01608333"
"Assam","Dima Hasao (N.C. Hills)","22 May 2016","25.19669444","93.01858333"
"Assam","Dima Hasao (N.C. Hills)","22 May 2016","25.18844444","93.01966667"
"Assam","Dima Hasao","22 May 2016","25.17597222","93.02016667"
"Assam","Dima Hasao","22 May 2016","25.17505556","93.02041667"
"Assam","Dima Hasao","22 May 2016","25.17188889","93.02061111"
"Assam","Dima Hasao","22 May 2016","25.16563889","93.02544444"
"Assam","Dima Hasao","22 May 2016","25.16344444","93.02316667"
"Assam","Dima Hasao","22 May 2016","25.14586111","93.02419444"
"Assam","Dima Hasao","22 May 2016","25.14041667","93.02038889"
"Assam","Dima Hasao","22 May 2016","25.13961111","93.01955556"
"Assam","Dima Hasao","22 May 2016","25.17638889","93.11613889"
"Assam","Dima Hasao","22 May 2016","25.17691667","93.02655556"
"Assam","Dima Hasao","22 May 2016","25.17702778","93.02088889"
"Assam","Dima Hasao","22 May 2016","25.13447222","93.01897222"
"Assam","Kamrup (Metro)","16 June 2017","26.18841667","91.85125"
"Assam","Kamrup (Metro)","20 July 2016","26.19244444","91.76422222"
"Assam","Kamrup (Metro)","16 July 2019","26.15805556","91.71258333"
"Assam","Kamrup (Metro)","14 July 2016","26.1755","91.76175"
"Assam","Kamrup (Metro)","14 July 2016","26.19038889","91.80994444"
"Assam","Kamrup (Metro)","27 June 2014","26.18866667","91.76694444"
"Assam","Kamrup (Metro)","27 June 2014","26.19622222","91.76336111"
"Assam","Kamrup (Metro)","05 July 2024","26.11464","91.83886"
"Assam","Kamrup (Metro)","13 June 2017","26.17755556","91.76588889"
"Assam","Kamrup (Metro)","13 June 2017","26.15427778","91.79263889"
"Assam","Kamrup (Metro)","27 june 2014","26.15477778","91.77411111"
"Assam","Kamrup (Metro)","27 june 2014","26.17672222","91.78672222"
"Assam","Kamrup (Metro)","18 April 2016","26.1895","91.78716667"
"Assam","Dima Hasao (N.C. Hills)","20 May 2017","25.40586111","93.11097222"
"Assam","Kamrup","24 August 2018","26.11266667","91.85388889"
"Assam","Cachar","02 June 2020","24.92097","93.07306"
"Assam","Kamrup","31 August 2018","26.19530556","91.76563889"
"Assam","Kamrup (Metro)","28 June 2020","26.19330556","91.77725"
"Assam","Kamrup (Metro)","12 July 2020","26.09150556","91.87898611"
"Assam","Kamrup (Metro)","26 June 2020","26.21305556","91.6925"
"Assam","Dima Hasao","14 May 2022","25.17136","93.01102"
"Assam","Dima Hasao","16 May 2022","25.177416","93.00975"
"Assam","Dima Hasao","15 May 2022","25.18919","93.02118"
"Assam","Karimganj","10 May 2014","24.70619444","92.28997222"
"Assam","Dima Hasao","14 May 2022","25.17623","93.01326"
"Assam","Kamrup","31 May 2025","26.19113889","91.82961111"
"Assam","Kamrup","06 June 2025","26.158193","91.755807"
"Assam","Kamrup","04 June 2025","26.166185","91.7147"
"Assam","Kamrup","31 May 2025","26.17027","91.698"
"Assam","Dima Hasao","14 May 2022","25.117665","92.847709"
"Assam","Dima Hasao","14 May 2022","25.366255","92.823037"
"Arunachal Pradesh","Lower Subansiri","16 July 2016","27.193425","93.780983"
"Arunachal Pradesh","Lower Subansiri","17 July 2016","27.23995","93.806589"
"Arunachal Pradesh","Lower Subansiri","17 July 2016","27.246131","93.804711"
"Arunachal Pradesh","Lower Subansiri","17 July 2016","27.254756","93.801303"
"Arunachal Pradesh","Lower Subansiri","17 July 2016","27.294886","93.803328"
"Arunachal Pradesh","Lower Subansiri","17 July 2016","27.307072","93.806008"
