Sl.No,Slide_No,State,District,Slide_Name,Latitude,Longitude,event_date,elevation,slope,aspect,rainfall_24h,rainfall_3d,rainfall_7d,rainfall_source,rainfall_source_type,rainfall_status,soil_moisture_0_7cm,soil_moisture_7_28cm,soil_moisture_28_100cm,soil_moisture_100_255cm,soil_moisture,soil_moisture_source,soil_moisture_source_type,soil_moisture_status
8,ASM/HLKD/83D10/2016/58,Assam,Hailakandi,Terracherra Slide,24.478972,92.682861,2016-05-17,65.0,12.9203,188.9207,27.2,41.3,86.5,Open-Meteo historical weather,reanalysis,available,0.41875,0.420958,0.4045,0.385,0.407302,Open-Meteo ERA5-Land,reanalysis,available
14,ASM/HLKD/83D10/2016/59,Assam,Hailakandi,Lalcherra Slide (Rabinala),24.511306,92.693028,2016-05-18,45.0,4.4361,200.1203,24.1,57.3,110.3,Open-Meteo historical weather,reanalysis,available,0.418792,0.429875,0.426083,0.386542,0.415323,Open-Meteo ERA5-Land,reanalysis,available
15,ASM/HLKD/83D10/2016/60,Assam,Hailakandi,Ramchandi (Koyabasti),24.515944,92.540889,2016-05-18,57.0,14.1141,317.7624,24.8,71.1,125.9,Open-Meteo historical weather,reanalysis,available,0.424542,0.428917,0.434125,0.401833,0.422354,Open-Meteo ERA5-Land,reanalysis,available
25,AS/CAC/83D10/2009-10/AS-1,Assam,Cachar,Palgana slide,24.57025,92.685,2010-04-02,49.0,5.8806,231.0479,4.7,156.0,314.0,Open-Meteo historical weather,reanalysis,available,0.416708,0.423333,0.428875,0.35325,0.405542,Open-Meteo ERA5-Land,reanalysis,available
30,ASM/CCR/83H2/2016/66,Assam,Cachar,Khasiapunji slide,24.645417,93.005361,2016-08-31,359.0,30.8001,237.5669,10.3,21.4,53.1,Open-Meteo historical weather,reanalysis,available,0.422208,0.421667,0.378208,0.4185,0.410146,Open-Meteo ERA5-Land,reanalysis,available
31,ASM/KRGJ/83D06/2016/61,Assam,Karimganj,Rakhalbasti,24.659389,92.497361,2016-05-18,33.0,4.6844,299.5967,42.8,121.4,192.6,Open-Meteo historical weather,reanalysis,available,0.476875,0.489542,0.514792,0.510833,0.49801,Open-Meteo ERA5-Land,reanalysis,available
34,ASM/HLK/83D10/2020/004,Assam,Hailakandi,Mohanpur Grant Slide 2,24.70656,92.65008,2020-06-02,49.0,3.1728,151.1724,21.7,42.2,217.3,Open-Meteo historical weather,reanalysis,available,0.49025,0.476,0.491042,0.435083,0.473094,Open-Meteo ERA5-Land,reanalysis,available
35,AS/KAR/83D06/2009-10/AS-2,Assam,Karimganj,Rongpur slide,24.710833,92.481167,2010-06-03,48.0,17.4927,288.7249,5.9,34.8,158.9,Open-Meteo historical weather,reanalysis,available,0.503917,0.501875,0.471375,0.511375,0.497135,Open-Meteo ERA5-Land,reanalysis,available
36,ASM/CHR/83D14/2020/0002,Assam,Cachar,Govindnagar Slide,24.72192,92.90381,2020-06-05,39.0,10.0258,169.8395,3.9,33.0,71.1,Open-Meteo historical weather,reanalysis,available,0.418208,0.421833,0.360208,0.314,0.378562,Open-Meteo ERA5-Land,reanalysis,available
37,ASM/HLK/83D10/2020/005,Assam,Hailakandi,Mohanpur Grant Slide 3,24.73117,92.64739,2020-06-02,39.0,11.2246,322.6847,21.7,42.2,217.3,Open-Meteo historical weather,reanalysis,available,0.481042,0.492,0.488917,0.425542,0.471875,Open-Meteo ERA5-Land,reanalysis,available
38,ASM/KGJ/83D05/2020/0008,Assam,Karimganj,Karimpur Slide 2,24.78002778,92.45372222,2020-06-02,44.0,14.2809,152.9161,35.3,54.9,217.8,Open-Meteo historical weather,reanalysis,available,0.493333,0.502417,0.499167,0.446958,0.485469,Open-Meteo ERA5-Land,reanalysis,available
40,ASM/HLK/83D09/2020/006,Assam,Hailakandi,Chandipur Grant Slide,24.79489,92.55506,2020-06-02,45.0,8.5247,340.9041,31.2,51.6,236.8,Open-Meteo historical weather,reanalysis,available,0.504875,0.504875,0.49675,0.43725,0.485938,Open-Meteo ERA5-Land,reanalysis,available
43,ASM/CHR/83H01/2020/001,Assam,Cachar,Kanakpur Slide,24.92097,93.07306,2020-06-02,61.0,15.338,73.7196,58.1,81.4,298.5,Open-Meteo historical weather,reanalysis,available,0.421083,0.409333,0.34975,0.305,0.371292,Open-Meteo ERA5-Land,reanalysis,available
132,AS/NC/83C16/2009-10/AS-4,Assam,Dima Hasao,Mailongdisa-Harangajao slide,25.121,92.915028,2010-06-20,306.0,16.4388,166.8657,69.8,101.9,152.8,Open-Meteo historical weather,reanalysis,available,0.458417,0.466917,0.47175,0.475458,0.468135,Open-Meteo ERA5-Land,reanalysis,available
