Sl.No,Slide_No,State,District,Slide_Name,Latitude,Longitude,dem_tile,dem_row,dem_column,elevation_m,slope_deg,aspect_deg
1,ASM/HKN/83D07/2020/2,Assam,Hailakandi,Kukinala slide,24.27,92.5,N24E092,2628,1800,41.0,9.3945,242.3063
2,AS/HKN/83D11/2020/1,Assam,Hailakandi,Jalnachaura slide,24.31,92.56,N24E092,2484,2016,46.0,2.464,235.6474
3,AS/HKN/83D10/2020/6,Assam,Hailakandi,Nandagram slide,24.32,92.51,N24E092,2448,1836,81.0,7.927,73.1037
4,AS/HKN/83D11/2020/4,Assam,Hailakandi,Nishkar slide,24.43,92.55,N24E092,2052,1980,38.0,3.7813,322.7511
5,AS/KRJ/83D07/2020/1,Assam,Karimganj,Paglacherra slide,24.44,92.5,N24E092,2016,1800,201.0,26.3247,265.7783
6,AS/HKN/83D11/2020/3,Assam,Hailakandi,Lalpani slide,24.44,92.56,N24E092,2016,2016,36.0,0.7407,159.8902
7,AS/HKN/83D11/2020/2,Assam,Hailakandi,Garapunjislide,24.46,92.52,N24E092,1944,1872,104.0,4.2252,208.78
8,ASM/HLKD/83D10/2016/58,Assam,Hailakandi,Terracherra Slide,24.478972,92.682861,N24E092,1876,2458,65.0,12.9203,188.9207
9,AS/HKN/83D07/2020/1,Assam,Hailakandi,Maneshwarpur landslide,24.48,92.49,N24E092,1872,1764,56.0,14.8245,292.4741
10,AS/HKN/83D10/2020/7,Assam,Hailakandi,Kurttathal slide,24.51,92.64,N24E092,1764,2304,60.0,7.8744,132.2987
11,AS/HKN/83D10/2020/4,Assam,Hailakandi,Dholaikhal slide,24.51,92.75,N24E092,1764,2700,144.0,4.7974,295.7204
12,AS/CHR/83D14/2020/3,Assam,Cachar,Bishnupur Puniyar Slide,24.51,92.9,N24E092,1764,3240,81.0,13.6809,104.4408
13,AS/HKN/83D10/2020/5,Assam,Hailakandi,Barthal slide,24.51,92.71,N24E092,1764,2556,34.0,4.8798,261.8244
14,ASM/HLKD/83D10/2016/59,Assam,Hailakandi,Lalcherra Slide (Rabinala),24.511306,92.693028,N24E092,1759,2495,45.0,4.4361,200.1203
15,ASM/HLKD/83D10/2016/60,Assam,Hailakandi,Ramchandi (Koyabasti),24.515944,92.540889,N24E092,1743,1947,57.0,14.1141,317.7624
16,AS/HKN/83D10/2020/3,Assam,Hailakandi,Dinanathpur slide,24.52,92.53,N24E092,1728,1908,68.0,4.8567,128.256
17,AS/HKN/83D10/2020/8,Assam,Hailakandi,Lala Chaura Bagan slide,24.53,92.63,N24E092,1692,2268,33.0,4.174,307.5885
18,AS/CHR/83D14/2020/4,Assam,Cachar,Raj Nagar Slide,24.53,92.84,N24E092,1692,3024,31.0,1.4516,118.6278
19,AS/CHR/83D14/2020/5,Assam,Cachar,Shymacharanpur slide,24.53,92.84,N24E092,1692,3024,31.0,1.4516,118.6278
20,AS/HKN/83D10/2020/11,Assam,Hailakandi,Nubarnapur slide,24.54,92.63,N24E092,1656,2268,49.0,0.9274,180.0
21,AS/HKN/83D10/2020/1,Assam,Hailakandi,Dwarbond- Bilaipur slide,24.55,92.74,N24E092,1620,2664,56.0,5.8135,40.9559
22,AS/HKN/83D10/2020/9,Assam,Hailakandi,Purbanakshatila slide 1,24.55,92.75,N24E092,1620,2700,49.0,2.0667,227.7104
23,AS/HKN/83D10/2020/10,Assam,Hailakandi,Purbanakshatila slide 2,24.55,92.75,N24E092,1620,2700,49.0,2.0667,227.7104
24,AS/CHR/83D14/2020/2,Assam,Cachar,Maniarkhal Slide,24.56,92.94,N24E092,1584,3384,43.0,6.2818,6.965
25,AS/CAC/83D10/2009-10/AS-1,Assam,Cachar,Palgana slide,24.57025,92.685,N24E092,1547,2466,49.0,5.8806,231.0479
26,AS/CHR/83D14/2020/6,Assam,Cachar,Pruptal slide,24.62,92.83,N24E092,1368,2988,35.0,5.1708,280.3048
27,AS/CHR/83D14/2020/7,Assam,Cachar,Panibara slide,24.62,92.84,N24E092,1368,3024,39.0,7.7761,109.0256
28,AS/HKN/83D10/2020/2,Assam,Hailakandi,BoroJalenga slide,24.63,92.74,N24E092,1332,2664,71.0,11.0551,73.1429
29,AS/CHR/83D14/2020/1,Assam,Cachar,Bhuban Nagar slide,24.64,92.98,N24E092,1296,3528,34.0,1.7891,121.2143
30,ASM/CCR/83H2/2016/66,Assam,Cachar,Khasiapunji slide,24.645417,93.005361,N24E093,1276,19,359.0,30.8001,237.5669
31,ASM/KRGJ/83D06/2016/61,Assam,Karimganj,Rakhalbasti,24.659389,92.497361,N24E092,1226,1790,33.0,4.6844,299.5967
32,ASM/HLK/83D10/2020/003,Assam,Hailakandi,Mohanpur Grant Slide 1,24.70364,92.64681,N24E092,1067,2329,48.0,12.1284,252.4638
33,AS/KRM/83D06/2014/01,Assam,Karimganj,Satkaragul,24.70619,92.28997,N24E092,1058,1044,44.0,9.8594,136.2071
34,ASM/HLK/83D10/2020/004,Assam,Hailakandi,Mohanpur Grant Slide 2,24.70656,92.65008,N24E092,1056,2340,49.0,3.1728,151.1724
35,AS/KAR/83D06/2009-10/AS-2,Assam,Karimganj,Rongpur slide,24.710833,92.481167,N24E092,1041,1732,48.0,17.4927,288.7249
36,ASM/CHR/83D14/2020/0002,Assam,Cachar,Govindnagar Slide,24.72192,92.90381,N24E092,1001,3254,39.0,10.0258,169.8395
37,ASM/HLK/83D10/2020/005,Assam,Hailakandi,Mohanpur Grant Slide 3,24.73117,92.64739,N24E092,968,2331,39.0,11.2246,322.6847
38,ASM/KGJ/83D05/2020/0008,Assam,Karimganj,Karimpur Slide 2,24.78002778,92.45372222,N24E092,792,1633,44.0,14.2809,152.9161
39,ASM/KGJ/83D05/2020/007,Assam,Karimganj,Karimpur Slide 1,24.78380556,92.45563889,N24E092,778,1640,33.0,15.0858,300.6944
