Sl.No,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History,rainfall_24h,rainfall_3d,rainfall_7d,rainfall_source,rainfall_source_type,rainfall_status,soil_moisture,soil_moisture_source,soil_moisture_source_type,soil_moisture_status,elevation,slope,aspect,landslide,sample_source,rainfall_available,soil_moisture_available,terrain_available
1,ASM/HKN/83D07/2020/2,Assam,Hailakandi,Kukinala slide,Kukinala,24.27,92.5,Debris,Slide,,,,,,,,,,,,41.0,9.3945,242.3063,1,GSI_field_inventory,False,False,True
2,AS/HKN/83D11/2020/1,Assam,Hailakandi,Jalnachaura slide,Jalnachaura,24.31,92.56,Debris,Slide,,,,,,,,,,,,46.0,2.464,235.6474,1,GSI_field_inventory,False,False,True
3,AS/HKN/83D10/2020/6,Assam,Hailakandi,Nandagram slide,Nandagram Pt. I,24.32,92.51,Debris,Slide,,,,,,,,,,,,81.0,7.927,73.1037,1,GSI_field_inventory,False,False,True
4,AS/HKN/83D11/2020/4,Assam,Hailakandi,Nishkar slide,Mahapur,24.43,92.55,Debris,Slide,,,,,,,,,,,,38.0,3.7813,322.7511,1,GSI_field_inventory,False,False,True
5,AS/KRJ/83D07/2020/1,Assam,Karimganj,Paglacherra slide,PaglacherraPunj,24.44,92.5,Rock,Slide,,,,,,,,,,,,201.0,26.3247,265.7783,1,GSI_field_inventory,False,False,True
6,AS/HKN/83D11/2020/3,Assam,Hailakandi,Lalpani slide,NH - 154,24.44,92.56,Debris,Slide,,,,,,,,,,,,36.0,0.7407,159.8902,1,GSI_field_inventory,False,False,True
7,AS/HKN/83D11/2020/2,Assam,Hailakandi,Garapunjislide,Telecherra,24.46,92.52,Debris,Slide,,,,,,,,,,,,104.0,4.2252,208.78,1,GSI_field_inventory,False,False,True
8,ASM/HLKD/83D10/2016/58,Assam,Hailakandi,Terracherra Slide,Terracherra area,24.478972,92.682861,Debris,Slide,17 May 2016,27.2,41.3,86.5,Open-Meteo historical weather,reanalysis,available,0.407302,Open-Meteo ERA5-Land,reanalysis,available,65.0,12.9203,188.9207,1,GSI_field_inventory,True,True,True
9,AS/HKN/83D07/2020/1,Assam,Hailakandi,Maneshwarpur landslide,Maneshwarpur,24.48,92.49,Debris,Slide,,,,,,,,,,,,56.0,14.8245,292.4741,1,GSI_field_inventory,False,False,True
10,AS/HKN/83D10/2020/7,Assam,Hailakandi,Kurttathal slide,Nunaikhal,24.51,92.64,Debris,Slide,,,,,,,,,,,,60.0,7.8744,132.2987,1,GSI_field_inventory,False,False,True
11,AS/HKN/83D10/2020/4,Assam,Hailakandi,Dholaikhal slide,Inner Line Reserved Forest,24.51,92.75,Rock,Slide,,,,,,,,,,,,144.0,4.7974,295.7204,1,GSI_field_inventory,False,False,True
12,AS/CHR/83D14/2020/3,Assam,Cachar,Bishnupur Puniyar Slide,Bishnupur Puniyar,24.51,92.9,Debris,Slide,,,,,,,,,,,,81.0,13.6809,104.4408,1,GSI_field_inventory,False,False,True
13,AS/HKN/83D10/2020/5,Assam,Hailakandi,Barthal slide,Bilaipur,24.51,92.71,Debris,Slide,,,,,,,,,,,,34.0,4.8798,261.8244,1,GSI_field_inventory,False,False,True
14,ASM/HLKD/83D10/2016/59,Assam,Hailakandi,Lalcherra Slide (Rabinala),Near Patakhouri Durga Mandir Under Bilaipur Forest Village; Lala Police Station,24.511306,92.693028,Debris,Slide,18 May 2016,24.1,57.3,110.3,Open-Meteo historical weather,reanalysis,available,0.415323,Open-Meteo ERA5-Land,reanalysis,available,45.0,4.4361,200.1203,1,GSI_field_inventory,True,True,True
15,ASM/HLKD/83D10/2016/60,Assam,Hailakandi,Ramchandi (Koyabasti),Ramchandi area,24.515944,92.540889,Earth,Slide,18 May 2016,24.8,71.1,125.9,Open-Meteo historical weather,reanalysis,available,0.422354,Open-Meteo ERA5-Land,reanalysis,available,57.0,14.1141,317.7624,1,GSI_field_inventory,True,True,True
16,AS/HKN/83D10/2020/3,Assam,Hailakandi,Dinanathpur slide,Dinanathpur,24.52,92.53,Debris,Slide,,,,,,,,,,,,68.0,4.8567,128.256,1,GSI_field_inventory,False,False,True
17,AS/HKN/83D10/2020/8,Assam,Hailakandi,Lala Chaura Bagan slide,Lala Chaura Bagan,24.53,92.63,Debris,Slide,,,,,,,,,,,,33.0,4.174,307.5885,1,GSI_field_inventory,False,False,True
18,AS/CHR/83D14/2020/4,Assam,Cachar,Raj Nagar Slide,Raj Nagar,24.53,92.84,Debris,Slide,,,,,,,,,,,,31.0,1.4516,118.6278,1,GSI_field_inventory,False,False,True
19,AS/CHR/83D14/2020/5,Assam,Cachar,Shymacharanpur slide,Shyamacharanpur,24.53,92.84,Debris,Slide,,,,,,,,,,,,31.0,1.4516,118.6278,1,GSI_field_inventory,False,False,True
20,AS/HKN/83D10/2020/11,Assam,Hailakandi,Nubarnapur slide,Lalamukh village,24.54,92.63,Debris,Slide,,,,,,,,,,,,49.0,0.9274,180.0,1,GSI_field_inventory,False,False,True
21,AS/HKN/83D10/2020/1,Assam,Hailakandi,Dwarbond- Bilaipur slide,Dwarbond- Bilaipur road,24.55,92.74,Debris,Slide,,,,,,,,,,,,56.0,5.8135,40.9559,1,GSI_field_inventory,False,False,True
22,AS/HKN/83D10/2020/9,Assam,Hailakandi,Purbanakshatila slide 1,Purbanakshatila,24.55,92.75,Debris,Slide,,,,,,,,,,,,49.0,2.0667,227.7104,1,GSI_field_inventory,False,False,True
23,AS/HKN/83D10/2020/10,Assam,Hailakandi,Purbanakshatila slide 2,Purbanakshatila,24.55,92.75,Debris,Slide,,,,,,,,,,,,49.0,2.0667,227.7104,1,GSI_field_inventory,False,False,True
24,AS/CHR/83D14/2020/2,Assam,Cachar,Maniarkhal Slide,Maniarkhal Pt VII (Tea estate),24.56,92.94,Debris,Slide,,,,,,,,,,,,43.0,6.2818,6.965,1,GSI_field_inventory,False,False,True
25,AS/CAC/83D10/2009-10/AS-1,Assam,Cachar,Palgana slide,Paglagaon (near Mursabarti) under Baghbahar GP part 3,24.57025,92.685,Debris,Slide,02 April 2010,4.7,156.0,314.0,Open-Meteo historical weather,reanalysis,available,0.405542,Open-Meteo ERA5-Land,reanalysis,available,49.0,5.8806,231.0479,1,GSI_field_inventory,True,True,True
26,AS/CHR/83D14/2020/6,Assam,Cachar,Pruptal slide,Pruptal,24.62,92.83,Debris,Slide,,,,,,,,,,,,35.0,5.1708,280.3048,1,GSI_field_inventory,False,False,True
27,AS/CHR/83D14/2020/7,Assam,Cachar,Panibara slide,Panibara,24.62,92.84,Debris,Slide,2019,,,,,,,,,,,39.0,7.7761,109.0256,1,GSI_field_inventory,False,False,True
28,AS/HKN/83D10/2020/2,Assam,Hailakandi,BoroJalenga slide,BoroJalenga,24.63,92.74,Debris,Slide,,,,,,,,,,,,71.0,11.0551,73.1429,1,GSI_field_inventory,False,False,True
29,AS/CHR/83D14/2020/1,Assam,Cachar,Bhuban Nagar slide,Bhuban Nagar,24.64,92.98,Debris,Slide,2019,,,,,,,,,,,34.0,1.7891,121.2143,1,GSI_field_inventory,False,False,True
30,ASM/CCR/83H2/2016/66,Assam,Cachar,Khasiapunji slide,Khasiapunji village,24.645417,93.005361,Debris,Slide,31 August 2016,10.3,21.4,53.1,Open-Meteo historical weather,reanalysis,available,0.410146,Open-Meteo ERA5-Land,reanalysis,available,359.0,30.8001,237.5669,1,GSI_field_inventory,True,True,True
31,ASM/KRGJ/83D06/2016/61,Assam,Karimganj,Rakhalbasti,"Rakhalbasti, near Sonaicherra TG. Under Ram Krishna",24.659389,92.497361,Earth,Slide,18 May 2016,42.8,121.4,192.6,Open-Meteo historical weather,reanalysis,available,0.49801,Open-Meteo ERA5-Land,reanalysis,available,33.0,4.6844,299.5967,1,GSI_field_inventory,True,True,True
32,ASM/HLK/83D10/2020/003,Assam,Hailakandi,Mohanpur Grant Slide 1,"Mohanpur Grant, Hailakandi Circle.",24.70364,92.64681,Debris,Slide,02nd June 2020,,,,,,,,,,,48.0,12.1284,252.4638,1,GSI_field_inventory,False,False,True
33,AS/KRM/83D06/2014/01,Assam,Karimganj,Satkaragul,NH-44,24.70619,92.28997,Earth,Flow,,,,,,,,,,,,44.0,9.8594,136.2071,1,GSI_field_inventory,False,False,True
34,ASM/HLK/83D10/2020/004,Assam,Hailakandi,Mohanpur Grant Slide 2,"Mohanpur Grant, Hailakandi Circle.",24.70656,92.65008,Debris,Slide,02 June 2020,21.7,42.2,217.3,Open-Meteo historical weather,reanalysis,available,0.473094,Open-Meteo ERA5-Land,reanalysis,available,49.0,3.1728,151.1724,1,GSI_field_inventory,True,True,True
35,AS/KAR/83D06/2009-10/AS-2,Assam,Karimganj,Rongpur slide,Rongpur Village,24.710833,92.481167,Debris,Slide,03 June 2010,5.9,34.8,158.9,Open-Meteo historical weather,reanalysis,available,0.497135,Open-Meteo ERA5-Land,reanalysis,available,48.0,17.4927,288.7249,1,GSI_field_inventory,True,True,True
36,ASM/CHR/83D14/2020/0002,Assam,Cachar,Govindnagar Slide,"Govindnagar Pt. II, Sonai",24.72192,92.90381,Debris,Slide,05 June 2020,3.9,33.0,71.1,Open-Meteo historical weather,reanalysis,available,0.378562,Open-Meteo ERA5-Land,reanalysis,available,39.0,10.0258,169.8395,1,GSI_field_inventory,True,True,True
37,ASM/HLK/83D10/2020/005,Assam,Hailakandi,Mohanpur Grant Slide 3,"Mohanpur Grant, Hailakandi Circle.",24.73117,92.64739,Debris,Slide,02 June 2020,21.7,42.2,217.3,Open-Meteo historical weather,reanalysis,available,0.471875,Open-Meteo ERA5-Land,reanalysis,available,39.0,11.2246,322.6847,1,GSI_field_inventory,True,True,True
38,ASM/KGJ/83D05/2020/0008,Assam,Karimganj,Karimpur Slide 2,"Karimpur, Nilam Bazar",24.78002778,92.45372222,Earth,Slide,02 June 2020,35.3,54.9,217.8,Open-Meteo historical weather,reanalysis,available,0.485469,Open-Meteo ERA5-Land,reanalysis,available,44.0,14.2809,152.9161,1,GSI_field_inventory,True,True,True
39,ASM/KGJ/83D05/2020/007,Assam,Karimganj,Karimpur Slide 1,"Karimpur, Nilam Bazar",24.78380556,92.45563889,Earth,Slide,02 June 2020 LANDSLIDE INVENTORY (Field vaidated),,,,,,,,,,,33.0,15.0858,300.6944,1,GSI_field_inventory,False,False,True
40,ASM/HLK/83D09/2020/006,Assam,Hailakandi,Chandipur Grant Slide,"Bowarthar, Chandipur, Algapur Circle.",24.79489,92.55506,Debris,Slide,02 June 2020,31.2,51.6,236.8,Open-Meteo historical weather,reanalysis,available,0.485938,Open-Meteo ERA5-Land,reanalysis,available,45.0,8.5247,340.9041,1,GSI_field_inventory,True,True,True
41,AS/DIM/83C16/2018/27,Assam,Cachar,Lowajuri,NH53,24.795892,93.045425,Debris,Slide,,,,,,,,,,,,125.0,24.2014,308.4107,1,GSI_field_inventory,False,False,True
42,AS/DIM/83C16/2018/28,Assam,Cachar,Lalpani,NH53,24.813648,93.073009,Debris,Slide,,,,,,,,,,,,47.0,18.1588,335.9325,1,GSI_field_inventory,False,False,True
43,ASM/CHR/83H01/2020/001,Assam,Cachar,Kanakpur Slide,"Kanakpur Pt. III, Lakhipur, Joypur",24.92097,93.07306,Earth,Slide,02 June 2020,58.1,81.4,298.5,Open-Meteo historical weather,reanalysis,available,0.371292,Open-Meteo ERA5-Land,reanalysis,available,61.0,15.338,73.7196,1,GSI_field_inventory,True,True,True
44,AS/CHR/83D13/2020/9,Assam,Cachar,Haticherra slide,"NH-27(Old NH-54E, Silchar- Lumding road)",24.93,92.84,Debris,Slide,,,,,,,,,,,,51.0,5.6826,80.6375,1,GSI_field_inventory,False,False,True
46,AS/CHR/83D13/2020/7,Assam,Cachar,Subong slide,Subong Tea Estate,24.95,92.8,Debris,Slide,,,,,,,,,,,,37.0,6.87,254.4121,1,GSI_field_inventory,False,False,True
47,AS/CHR/83D13/2020/5,Assam,Cachar,Nagadun slide,Nagadun,24.96,92.92,Debris,Slide,,,,,,,,,,,,40.0,4.1885,77.2296,1,GSI_field_inventory,False,False,True
