rainfall_24h,rainfall_3d,rainfall_7d,soil_moisture,elevation,slope,aspect,landslide,sample_source,data_type,State,Latitude,Longitude,event_date
7.1,31.7,149.0,0.425917,3519.0,37.6621,75.4399,0,spatial_background_sample,spatial_background_reference,Sikkim,27.447096,88.200731,2024-07-21
42.5,100.3,170.4,0.427369,2072.0,38.6433,288.8798,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,28.797227,95.192353,2016-07-17
22.4,46.5,74.1,0.488076,127.0,8.6236,251.3457,0,spatial_background_sample,spatial_background_reference,Meghalaya,25.809219,90.538606,2007-07-19
4.2,50.2,67.3,0.483104,693.0,8.8797,223.5744,0,spatial_background_sample,spatial_background_reference,Meghalaya,25.723973,90.944825,2007-09-15
4.4,82.1,137.0,0.485728,372.0,21.591,222.6545,0,spatial_background_sample,spatial_background_reference,Meghalaya,25.242145,90.851395,2014-09-23
19.0,46.2,149.1,0.425429,1227.0,10.2928,191.6401,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,28.041211,93.619476,2016-07-16
37.1,38.4,49.5,0.48965,872.0,14.9726,147.8286,0,spatial_background_sample,spatial_background_reference,Manipur,24.712238,93.985573,2024-07-29
7.2,36.6,96.8,0.3985,897.0,25.3925,72.6384,1,GSI_field_inventory,observed_landslide,Mizoram,23.063838,92.769004,
21.8,66.9,85.6,0.456286,92.0,10.1486,280.4084,0,spatial_background_sample,spatial_background_reference,Tripura,23.302846,91.714457,2018-05-18
27.6,50.6,126.0,0.425443,2832.0,16.5439,247.6017,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.97574,92.937289,2016-07-16
2.2,7.0,11.9,0.415426,4961.0,33.3042,257.2024,0,spatial_background_sample,spatial_background_reference,Sikkim,27.949437,88.486539,2015-07-08
21.0,56.1,108.9,0.496022,754.0,4.164,311.7817,0,spatial_background_sample,spatial_background_reference,Nagaland,26.679981,94.879977,2022-09-25
85.4,169.1,263.2,0.466426,145.0,2.1277,330.5089,0,spatial_background_sample,spatial_background_reference,Assam,27.863008,95.877256,2022-05-14
13.4,30.6,88.5,0.427787,3797.0,20.848,112.4661,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,29.192196,96.117071,2016-07-16
5.9,51.2,127.8,0.421923,62.0,4.9727,123.8844,0,spatial_background_sample,spatial_background_reference,Assam,26.435575,92.284272,2010-04-02
0.7,22.6,41.7,0.413385,756.0,6.8305,227.4901,1,GSI_field_inventory,observed_landslide,Mizoram,23.55881111,93.10900556,
6.9,39.5,68.3,0.350089,5235.0,23.5779,38.9183,0,spatial_background_sample,spatial_background_reference,Sikkim,27.792103,88.319793,2012-06-26
