sample_id,State,Latitude,Longitude,landslide,sample_source,background_rule
BG-00001,Sikkim,27.609802,88.211661,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00002,Assam,26.396304,91.091606,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00003,Meghalaya,25.687463,92.346945,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00004,Sikkim,27.988794,88.788642,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00005,Assam,26.574332,91.455167,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00006,Meghalaya,25.416584,90.300148,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00007,Arunachal Pradesh,28.572216,95.662663,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00008,Arunachal Pradesh,27.855121,95.927724,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00009,Tripura,23.083585,91.752085,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00010,Sikkim,27.704814,88.362213,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00011,Arunachal Pradesh,27.607037,96.054321,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00012,Arunachal Pradesh,27.926208,94.096374,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00013,Sikkim,27.58948,88.091146,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00014,Tripura,23.694129,91.301479,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00015,Meghalaya,25.288734,90.025793,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00016,Nagaland,26.90073,95.183098,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00017,Sikkim,27.691993,88.39344,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00018,Meghalaya,25.460756,90.527386,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00019,Arunachal Pradesh,27.631866,92.323322,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00020,Sikkim,27.85859,88.819812,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00021,Tripura,23.899904,91.471675,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00022,Manipur,24.627918,93.949491,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00023,Tripura,23.005625,91.657811,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00024,Arunachal Pradesh,28.082723,93.605945,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00025,Meghalaya,25.155001,92.621139,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00026,Sikkim,27.684559,88.362601,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00027,Arunachal Pradesh,27.859209,93.229219,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00028,Assam,26.652469,91.240384,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00029,Sikkim,27.920509,88.427185,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00030,Arunachal Pradesh,29.011599,95.955659,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00031,Arunachal Pradesh,28.116156,96.037986,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00032,Arunachal Pradesh,29.049785,95.96562,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00033,Assam,27.35987,94.274834,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00034,Meghalaya,25.385594,90.446614,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00035,Assam,26.878582,92.205133,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00036,Sikkim,27.951106,88.550103,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00037,Meghalaya,25.735235,90.020113,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00038,Manipur,25.367854,93.795523,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00039,Arunachal Pradesh,27.340902,93.436788,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00040,Sikkim,27.55255,88.266298,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00041,Tripura,23.502792,91.726102,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00042,Nagaland,25.605767,93.505175,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00043,Manipur,24.471901,93.952671,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
BG-00044,Arunachal Pradesh,26.989993,93.020951,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory
